newLocality,newLocalityScale,newCoordinateUncertaintyInMeters,newLatLong,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
,,,,899067752,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:3267,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,Pleocoma behrensi,,SPECIES,"Pleocoma behrensi LeConte, 1874",Pleocoma behrensii LeConte 1874,LeConte 1874,US,Berkeley,California,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,37.87159,-122.27275,5007,1.00E-05,,,,,,,,,1073216,1073216,PRESERVED_SPECIMEN,MCZ,Ent,3267,,LeConte,1874-01-01 0:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],SYNTYPE,,2023-11-09T13:04:09.230Z,StillImage,TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
,,,,899067655,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:3268,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,Pleocoma staff,,SPECIES,"Pleocoma edwardsii LeConte, 1874",Pleocoma edwardsii LeConte 1874,LeConte 1874,,[no specific locality data],,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,,,,,,,,,,,,,1073197,1073195,PRESERVED_SPECIMEN,MCZ,Ent,3268,,LeConte,1874-01-01 0:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],HOLOTYPE,,2023-11-09T13:04:09.275Z,StillImage,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
,,,,895367035,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:7898,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,Pleocoma rickseckeri,,SPECIES,"Pleocoma rickseckeri Horn, 1888",Pleocoma rickseckeri Horn 1888,Horn 1888,US,[no specific locality data],California,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,37.21354,-119.59668,665879,1.00E-05,,,,,,,,,1073212,1073212,PRESERVED_SPECIMEN,MCZ,Ent,7898,,George H. Horn,1888-01-01 0:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],SYNTYPE,,2023-11-09T13:06:49.696Z,StillImage,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
,,,,895366947,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:34440,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,Pleocoma conjungens,,SPECIES,"Pleocoma conjungens Horn, 1888",Pleocoma conjungens Horn 1888,Horn 1888,US,[no specific locality data],California,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,37.21354,-119.59668,665879,1.00E-05,,,,,,,,,1073204,1073204,PRESERVED_SPECIMEN,MCZ,Ent,34440,,George H. Horn,1888-01-01 0:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],SYNTYPE,,2023-11-09T13:04:44.947Z,StillImage,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
not found in Utah,country,1000000,,895366525,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:34441,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,Pleocoma staff,,SPECIES,"Pleocoma ulkei Horn, 1888",Pleocoma ulkei Horn 1888,Horn 1888,US,[no specific locality data],Utah,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,39.41092,-111.66325,354715,1.00E-05,,,,,,,,,1073196,1073195,PRESERVED_SPECIMEN,MCZ,Ent,34441,,George H. Horn,1888-01-01 0:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],SYNTYPE,,2023-11-09T13:04:45.818Z,StillImage,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
,,,,895366504,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:521935,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,Pleocoma rickseckeri,,SPECIES,"Pleocoma rickseckeri Horn, 1888",Pleocoma rickseckeri Horn 1888,Horn 1888,US,[no specific locality data],California,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,37.21354,-119.59668,665879,1.00E-05,,,,,,,,,1073212,1073212,PRESERVED_SPECIMEN,MCZ,Ent,521935,,George H. Horn,1888-01-01 0:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],SYNTYPE,,2023-11-09T13:05:38.497Z,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
,,,,895366484,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:3266,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,Pleocoma fimbriata,,SPECIES,"Pleocoma fimbriata LeConte, 1856",Pleocoma fimbriata LeConte 1856,LeConte 1856,US,[gold disc = California],California,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,36.87034,-120.09375,695284,1.00E-05,,,,,,,,,1073217,1073217,PRESERVED_SPECIMEN,MCZ,Ent,3266,,John Lawrence LeConte,1856-01-01 0:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],HOLOTYPE,,2023-11-09T13:04:02.926Z,StillImage,TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
,,,,895365658,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:24781,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,Pleocoma australis,,SPECIES,"Pleocoma australis Fall, 1911",Pleocoma australis Fall 1911,Fall 1911,US,"Southern California, Sierra Nevada Mountains,  San Gabriel Range",California,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,34.28889,-117.64672,19549,1.00E-05,762,0,,,1910-11-19 0:00:00,19,11,1910,6968751,6968751,PRESERVED_SPECIMEN,MCZ,Ent,24781,,Henry C. Fall,1911-01-01 0:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],SYNTYPE,,2023-11-09T13:04:44.802Z,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
,,,,895365626,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:24783,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,Pleocoma hoppingi,,SPECIES,"Pleocoma hoppingi Fall, 1906",Pleocoma hoppingi Fall,Fall,US,Kaweah,California,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,36.44406,-118.93421,7827,1.00E-05,,,,,,,,,1073209,1073209,PRESERVED_SPECIMEN,MCZ,Ent,24783,,Henry C. Fall,2012-01-01 0:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,Hopping,SYNTYPE,,2023-11-09T13:04:07.397Z,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
,,,,895365565,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:24782,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,Pleocoma badia,,SPECIES,"Pleocoma badia Fall, 1917",Pleocoma badia Fall,Fall,US,"Mount Wilson, New Trail",California,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,34.22389,-118.06118,1807,1.00E-05,914.4,0,,,1914-12-20 0:00:00,20,12,1914,1073185,1073185,PRESERVED_SPECIMEN,MCZ,Ent,24782,,Henry C. Fall,2012-01-01 0:00:00,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],SYNTYPE,,2023-11-09T13:04:07.458Z,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
